addr,label
0x1c9800,ロックマン
0x1cf974,ブルースソウル
0x1d60f0,ジャイロソウル
0x1dcd6c,サーチソウル
0x1e4650,ナパームソウル
0x1ed434,マグネットソウル
0x1f433c,メディソウル
0x1fa584,カーネルソウル
0x2009fc,シャドーソウル
0x206fa4,ナンバーソウル
0x20cf1c,トマホークソウル
0x21536c,ナイトソウル
0x21c6a8,トードソウル
0x2227a8,メットール
0x23fea0,ブルース
0x276968,メディ
0x2d3304,フォルテ
0x2e3b20,ネビュラグレイ
0x39ba1c,熱斗（マップ）
0x3a9a5c,メイル（マップ）
0x3ac66c,デカオ（マップ）
0x3b11c0,やいと（マップ）
0x3b4c24,炎山（マップ）
0x3b7c68,パパ（マップ）
0x3bd784,ママ（マップ）
0x3be5d8,バレル（マップ）
0x3c1e5c,ダーク・ミヤビ（マップ）
0x3c56e4,日暮（マップ）
0x3c83c8,ディンゴ（マップ）
0x3c8938,プライド（マップ）
0x3c9574,ケロ（マップ）
0x3f4614,彩斗（マップ）
0x42ff24,シャドーマン
0x4a7e38,熱斗（会話）
0x4bd768,カーネル（会話）
